candidate,threshold,delay_days,incumbent_momentum_floor,confidence_cap,minimum_risk_spread,event_days,D_sharpe_delta,D_annual_delta,D_top10_delta,D_event_days,V_sharpe_delta,V_annual_delta,V_top10_delta,V_event_days,robust_score,eligible_DV_triple
P12_67,0.825,5,0.0,1.5,0.0,34,-0.015103570567421398,-0.009514965403336628,0.018019933036703434,9,0.06903956430647906,0.018059892484198814,0.004276599071829465,13,-0.9514965403336628,False
P12_68,0.825,5,0.0,1.5,0.1,34,-0.015103570567421398,-0.009514965403336628,0.018019933036703434,9,0.06903956430647906,0.018059892484198814,0.004276599071829465,13,-0.9514965403336628,False
P12_39,0.8,3,0.05,1.5,0.0,21,-0.019047120892756286,-0.010799840728602295,0.01827071283806496,6,0.0017752674752952169,0.0003143999613837156,0.005567823638357922,8,-1.0799840728602295,False
P12_40,0.8,3,0.05,1.5,0.1,21,-0.019047120892756286,-0.010799840728602295,0.01827071283806496,6,0.0017752674752952169,0.0003143999613837156,0.005567823638357922,8,-1.0799840728602295,False
P12_47,0.8,5,0.05,1.5,0.0,25,-0.019047120892756286,-0.010799840728602295,0.01827071283806496,6,-0.0071184826858077255,-0.0032241020710763735,0.004919969543287148,10,-1.0799840728602295,False
P12_48,0.8,5,0.05,1.5,0.1,25,-0.019047120892756286,-0.010799840728602295,0.01827071283806496,6,-0.0071184826858077255,-0.0032241020710763735,0.004919969543287148,10,-1.0799840728602295,False
P12_19,0.75,5,0.0,1.5,0.0,78,0.0002690474973552348,-0.010876719959245218,0.01801993303670346,27,0.08018239423075435,0.021889875834264938,0.00233862555358208,21,-1.0876719959245218,False
P12_37,0.8,3,0.05,1.0,0.0,14,-0.021874378597321664,-0.01095070846149393,0.018545383360569434,4,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,7,-1.095070846149393,False
P12_38,0.8,3,0.05,1.0,0.1,14,-0.021874378597321664,-0.01095070846149393,0.018545383360569434,4,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,7,-1.095070846149393,False
P12_45,0.8,5,0.05,1.0,0.0,14,-0.021874378597321664,-0.01095070846149393,0.018545383360569434,4,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,7,-1.095070846149393,False
P12_46,0.8,5,0.05,1.0,0.1,14,-0.021874378597321664,-0.01095070846149393,0.018545383360569434,4,-0.013048980643899921,-0.004125377262847785,0.004445503555184374,7,-1.095070846149393,False
P12_20,0.75,5,0.0,1.5,0.1,77,-0.00040102610387271476,-0.010997153350507327,0.018019933036703475,26,0.08018239423075435,0.021889875834264938,0.00233862555358208,21,-1.0997153350507327,False
P12_57,0.825,3,0.0,1.0,0.0,18,-0.022804187560846456,-0.01129705374547374,0.018900204868058934,4,0.07115398183633392,0.019432805534340458,0.004369031437742157,11,-1.129705374547374,False
P12_58,0.825,3,0.0,1.0,0.1,18,-0.022804187560846456,-0.01129705374547374,0.018900204868058934,4,0.07115398183633392,0.019432805534340458,0.004369031437742157,11,-1.129705374547374,False
P12_65,0.825,5,0.0,1.0,0.0,18,-0.022804187560846456,-0.01129705374547374,0.018900204868058934,4,0.07115398183633392,0.019432805534340458,0.004369031437742157,11,-1.129705374547374,False
P12_66,0.825,5,0.0,1.0,0.1,18,-0.022804187560846456,-0.01129705374547374,0.018900204868058934,4,0.07115398183633392,0.019432805534340458,0.004369031437742157,11,-1.129705374547374,False
P12_11,0.75,3,0.0,1.5,0.0,69,-0.010881201681226527,-0.012654410152183937,0.01801993303670346,24,0.08875169507844693,0.025500489494516554,0.002981275438044717,19,-1.2654410152183937,False
P12_12,0.75,3,0.0,1.5,0.1,68,-0.011544150001010944,-0.01277468545801308,0.018019933036703475,23,0.08875169507844693,0.025500489494516554,0.002981275438044717,19,-1.277468545801308,False
P12_02,0.75,1,0.0,1.0,0.1,26,-0.06635672455912855,-0.023514731483485818,-0.0031915753153641396,8,0.11863422529712009,0.036140587242974975,0.004514583226989277,10,-2.351473148348582,False
P12_01,0.75,1,0.0,1.0,0.0,27,-0.06635672455912855,-0.023514731483485818,-0.0031915753153641396,8,0.12609647664887957,0.03975260319112284,0.003574828661063248,11,-2.351473148348582,False
P12_33,0.8,3,0.0,1.0,0.0,26,-0.07625864311795438,-0.028658061394059686,0.015534543376079,8,-0.011560677518397733,-0.006910271150849967,0.0027718247152294234,14,-2.8658061394059686,False
P12_34,0.8,3,0.0,1.0,0.1,26,-0.07625864311795438,-0.028658061394059686,0.015534543376079,8,-0.011560677518397733,-0.006910271150849967,0.0027718247152294234,14,-2.8658061394059686,False
P12_41,0.8,5,0.0,1.0,0.0,26,-0.07625864311795438,-0.028658061394059686,0.015534543376079,8,-0.011560677518397733,-0.006910271150849967,0.0027718247152294234,14,-2.8658061394059686,False
P12_42,0.8,5,0.0,1.0,0.1,26,-0.07625864311795438,-0.028658061394059686,0.015534543376079,8,-0.011560677518397733,-0.006910271150849967,0.0027718247152294234,14,-2.8658061394059686,False
P12_10,0.75,3,0.0,1.0,0.1,40,-0.11415094950970284,-0.04205047163038245,0.01588936488356822,13,0.11059288432288972,0.03126040817625575,0.0028077255157083064,15,-4.205047163038245,False
P12_09,0.75,3,0.0,1.0,0.0,41,-0.11415094950970284,-0.04205047163038245,0.01588936488356822,13,0.1181119148598867,0.03485856295076584,0.0018679709497822078,16,-4.205047163038245,False
P12_18,0.75,5,0.0,1.0,0.1,41,-0.16003334935278035,-0.0573148203715963,0.013049199811935058,14,0.11059288432288972,0.03126040817625575,0.0028077255157083064,15,-5.73148203715963,False
P12_17,0.75,5,0.0,1.0,0.0,42,-0.16003334935278035,-0.0573148203715963,0.013049199811935058,14,0.1181119148598867,0.03485856295076584,0.0018679709497822078,16,-5.73148203715963,False
