candidate,gate,threshold,mode,budget,momentum_cap,trigger_days,D_sharpe_delta,D_annual_delta,D_top10_delta,V_sharpe_delta,V_annual_delta,V_top10_delta,robust_score,eligible_DV_triple,minimum_drawdown
P7_022,BOTH,0.7,SAFE,0.2,0.1,115,-0.12251307216393914,-0.03964711174066338,0.004237140560863148,0.053510479409078715,0.015503543128969621,0.01749575386349704,-3.9647111740663377,False,0.02
P7_073,MOMCAP,0.8,SAFE,0.35,0.05,36,-0.12502311569187063,-0.04060577049812708,4.163336342344337e-17,-0.015412228191213684,-0.006074654411897695,0.005974787834279849,-4.060577049812708,False,
P7_051,BOTH,0.7,RA,0.2,0.1,115,-0.12858112001126165,-0.04097410184667338,0.0038341468510007803,0.05619019153866189,0.016351725095998804,0.01749575386349707,-4.097410184667338,False,0.02
P7_002,MOMCAP,0.7,SAFE,0.15,0.1,250,-0.13267649936620152,-0.041286153234759704,-0.004833326632954313,0.08221226497623368,0.0233550914163545,0.009313406679083161,-4.12861532347597,False,
P7_031,MOMCAP,0.7,RA,0.15,0.1,250,-0.13468409169093665,-0.0413541445378518,-0.005103229571199561,0.08896153655563654,0.025611761730496063,0.009295865832548059,-4.13541445378518,False,
P7_048,DRAWDOWN,0.7,RA,0.35,,246,-0.09693211901949739,-0.041813996863962144,0.005898571535016717,0.09663453233487929,0.019524737286565008,0.028375449800166777,-4.181399686396214,False,0.02
P7_088,MOMCAP,0.8,RA,0.15,0.05,36,-0.13601959035220856,-0.04218958078129975,-0.0002858667793637082,0.003065147325211459,0.00018221881248314808,8.823498590253276e-05,-4.218958078129975,False,
P7_075,MOMCAP,0.8,SAFE,0.35,0.15,205,-0.0921277237312248,-0.04268500544203846,-3.282703118832886e-05,0.057177994037404756,0.010646417503161976,0.015074161579263265,-4.268500544203846,False,
P7_024,BOTH,0.7,SAFE,0.2,0.15,154,-0.12089020382024218,-0.04284348691887141,0.00394868674338017,-0.0585829105073562,-0.016611257334645524,0.019965983003883123,-4.284348691887141,False,0.02
P7_095,MOMCAP,0.8,RA,0.25,0.05,36,-0.1414643254702952,-0.0446582646860223,0.0,0.004792523438059693,0.00028032822268153623,0.00014805130205268469,-4.46582646860223,False,
