date,reason,asset,side,shares,notional
2026-02-03,rebalance,511880.SH,buy,1900,264069.61254
2026-03-03,rebalance,512890.SH,sell,748900,1812828.2299399998
2026-03-03,rebalance,511260.SH,buy,7800,1071624.87432
2026-03-03,rebalance,511360.SH,buy,4100,463755.10000000003
2026-03-03,rebalance,511880.SH,buy,2200,306021.27995999996
2026-04-02,rebalance,511360.SH,sell,4200,475721.39999999997
2026-04-02,rebalance,511880.SH,sell,2400,334114.51536
2026-04-02,rebalance,512890.SH,sell,89000,217805.71279999998
2026-04-02,rebalance,511260.SH,buy,7600,1043750.313
2026-05-07,rebalance,511260.SH,sell,15300,2111518.0318500004
2026-05-07,rebalance,512890.SH,buy,844500,2042514.7937999996
2026-05-07,rebalance,511880.SH,buy,300,41803.450379999995
2026-05-07,rebalance,511360.SH,buy,300,34021.8
2026-06-02,rebalance,512890.SH,buy,10200,24607.191959999996
2026-07-02,rebalance,511360.SH,sell,1300,147703.4
2026-07-02,rebalance,511880.SH,sell,3100,432657.33605999994
2026-07-02,rebalance,512890.SH,sell,165100,365529.48484
2026-07-02,rebalance,511260.SH,buy,7000,972094.2714
2026-08-04,rebalance,512890.SH,sell,602400,1479157.0559999999
2026-08-04,rebalance,511880.SH,buy,5400,754530.4839600001
2026-08-04,rebalance,511360.SH,buy,5200,591526.0
2026-08-04,rebalance,511260.SH,buy,600,83752.95348
