tau,from_asset,away_asset,away_entry_date,return_entry_date,away_holding_days,whipsaw_pnl
0.001,159915.SZ,510300.SH,2015-04-15,2015-05-07,15,0.0250782916952077
0.001,510300.SH,159915.SZ,2015-05-07,2015-06-09,23,0.2962417286384209
0.001,513100.SH,518880.SH,2015-07-07,2015-07-15,6,-0.0025940251222559274
0.001,513100.SH,159915.SZ,2015-08-05,2015-08-12,5,0.06031303799404286
0.001,513100.SH,518880.SH,2015-08-19,2015-09-23,23,0.008795607073465161
0.001,513100.SH,159915.SZ,2015-09-30,2015-11-04,20,0.16555542963860836
0.001,159915.SZ,513100.SH,2015-11-04,2015-11-11,5,-0.002600862722398456
0.001,510300.SH,513100.SH,2015-12-10,2015-12-22,8,-0.01068788416337485
0.001,513100.SH,518880.SH,2016-04-28,2016-05-27,20,-0.001012495372340716
0.001,513100.SH,159915.SZ,2016-06-07,2016-06-16,5,-0.022538793269012758
0.001,510300.SH,518880.SH,2016-11-08,2016-11-15,5,-0.032407619926065445
0.001,513100.SH,518880.SH,2017-01-16,2017-02-03,9,-0.008867606161478858
0.001,518880.SH,513100.SH,2017-02-03,2017-03-23,34,0.07526980137505768
0.001,513100.SH,518880.SH,2017-03-23,2017-03-30,5,0.009205429413716937
0.001,518880.SH,513100.SH,2017-03-30,2017-04-10,5,-0.02198402474452732
0.001,513100.SH,518880.SH,2017-04-10,2017-04-26,12,0.003169115223574215
0.001,513100.SH,510300.SH,2017-06-08,2017-07-27,35,0.0650129729807225
0.001,159915.SZ,510300.SH,2017-09-13,2017-09-20,5,-0.00485502773356139
0.001,513100.SH,510300.SH,2017-10-25,2017-11-01,5,0.011027268847335847
0.001,510300.SH,513100.SH,2017-11-01,2017-11-14,9,0.008273985236455283
0.001,513100.SH,510300.SH,2017-11-14,2017-11-24,8,-0.010435578244259558
0.001,510300.SH,513100.SH,2017-11-24,2018-01-03,27,0.0005472323874984308
0.001,510300.SH,518880.SH,2018-01-10,2018-01-17,5,0.01751603412430347
0.001,513100.SH,518880.SH,2018-02-07,2018-02-28,10,0.0408046921901386
0.001,159915.SZ,518880.SH,2018-04-12,2018-04-25,9,-0.014196849513908538
0.001,513100.SH,510300.SH,2018-05-21,2018-05-28,5,-0.028397741509058272
0.001,513100.SH,159915.SZ,2018-07-20,2018-07-27,5,0.01151704476539539
0.001,513100.SH,510300.SH,2018-09-04,2018-09-11,5,-0.02325187491055103
0.001,510300.SH,513100.SH,2018-09-11,2018-09-25,9,0.01276327487134421
0.001,518880.SH,159915.SZ,2018-11-09,2018-12-03,16,0.005429900915574937
0.001,513100.SH,510300.SH,2019-04-09,2019-04-24,11,-0.003988544223836321
0.001,518880.SH,510300.SH,2019-07-02,2019-07-10,6,-0.027842242118939264
0.001,159915.SZ,518880.SH,2019-08-09,2019-09-03,17,0.031019219410137966
0.001,159915.SZ,513100.SH,2019-09-27,2019-12-11,48,0.0795902293632873
0.001,513100.SH,159915.SZ,2019-12-11,2020-01-06,17,0.05625093682361504
0.001,159915.SZ,513100.SH,2020-01-06,2020-01-14,6,0.03565405621390538
0.001,513100.SH,159915.SZ,2020-01-14,2020-02-03,8,0.006328321412514937
0.001,159915.SZ,513100.SH,2020-02-03,2020-02-20,13,0.037289795312291485
0.001,518880.SH,510300.SH,2020-03-06,2020-03-13,5,-0.03543050184369445
