tau,date,from_asset,to_asset,traded_weight,cost
0.0025,2021-05-10,159915.SZ,518880.SH,2.0,0.0002
0.0025,2021-05-17,518880.SH,159915.SZ,2.0,0.0002
0.0025,2021-05-24,159915.SZ,518880.SH,2.0,0.0002
0.0025,2021-05-31,518880.SH,159915.SZ,2.0,0.0002
0.0025,2021-06-17,159915.SZ,513100.SH,2.0,0.0002
0.0025,2021-07-22,513100.SH,159915.SZ,2.0,0.0002
0.0025,2021-07-29,159915.SZ,518880.SH,2.0,0.0002
0.0025,2021-08-05,518880.SH,159915.SZ,2.0,0.0002
0.0025,2021-08-13,159915.SZ,513100.SH,2.0,0.0002
0.0025,2021-09-07,513100.SH,518880.SH,2.0,0.0002
0.0025,2021-09-14,518880.SH,513100.SH,2.0,0.0002
0.0025,2021-09-29,513100.SH,510300.SH,2.0,0.0002
0.0025,2021-10-19,510300.SH,159915.SZ,2.0,0.0002
0.0025,2021-11-03,159915.SZ,513100.SH,2.0,0.0002
0.0025,2021-11-30,513100.SH,159915.SZ,2.0,0.0002
0.0025,2021-12-08,159915.SZ,510300.SH,2.0,0.0002
0.0025,2022-01-04,510300.SH,518880.SH,2.0,0.0002
0.0025,2022-03-23,518880.SH,513100.SH,2.0,0.0002
0.0025,2022-04-18,513100.SH,518880.SH,2.0,0.0002
0.0025,2022-05-26,518880.SH,159915.SZ,2.0,0.0002
0.0025,2022-06-13,159915.SZ,510300.SH,2.0,0.0002
0.0025,2022-06-20,510300.SH,159915.SZ,2.0,0.0002
0.0025,2022-07-19,159915.SZ,513100.SH,2.0,0.0002
0.0025,2022-09-02,513100.SH,518880.SH,2.0,0.0002
0.0025,2022-11-07,518880.SH,159915.SZ,2.0,0.0002
0.0025,2022-11-14,159915.SZ,518880.SH,2.0,0.0002
0.0025,2022-11-28,518880.SH,510300.SH,2.0,0.0002
0.0025,2022-12-05,510300.SH,518880.SH,2.0,0.0002
0.0025,2022-12-12,518880.SH,510300.SH,2.0,0.0002
0.0025,2023-01-04,510300.SH,518880.SH,2.0,0.0002
0.0025,2023-01-13,518880.SH,159915.SZ,2.0,0.0002
0.0025,2023-02-07,159915.SZ,513100.SH,2.0,0.0002
0.0025,2023-03-06,513100.SH,510300.SH,2.0,0.0002
0.0025,2023-03-13,510300.SH,518880.SH,2.0,0.0002
0.0025,2023-03-31,518880.SH,513100.SH,2.0,0.0002
0.0025,2023-04-10,513100.SH,518880.SH,2.0,0.0002
0.0025,2023-04-17,518880.SH,159915.SZ,2.0,0.0002
0.0025,2023-04-24,159915.SZ,513100.SH,2.0,0.0002
0.0025,2023-05-05,513100.SH,518880.SH,2.0,0.0002
0.0025,2023-05-12,518880.SH,513100.SH,2.0,0.0002
0.0025,2023-07-24,513100.SH,518880.SH,2.0,0.0002
0.0025,2023-07-31,518880.SH,510300.SH,2.0,0.0002
0.0025,2023-08-23,510300.SH,518880.SH,2.0,0.0002
0.0025,2023-10-11,518880.SH,513100.SH,2.0,0.0002
0.0025,2023-10-19,513100.SH,518880.SH,2.0,0.0002
0.0025,2023-11-16,518880.SH,513100.SH,2.0,0.0002
0.0025,2024-01-12,513100.SH,518880.SH,2.0,0.0002
0.0025,2024-01-22,518880.SH,513100.SH,2.0,0.0002
0.0025,2024-02-28,513100.SH,510300.SH,2.0,0.0002
0.0025,2024-03-06,510300.SH,159915.SZ,2.0,0.0002
0.0025,2024-03-22,159915.SZ,518880.SH,2.0,0.0002
0.0025,2024-05-10,518880.SH,159915.SZ,2.0,0.0002
0.0025,2024-05-21,159915.SZ,513100.SH,2.0,0.0002
0.0025,2024-07-15,513100.SH,518880.SH,2.0,0.0002
0.0025,2024-07-22,518880.SH,510300.SH,2.0,0.0002
0.0025,2024-07-30,510300.SH,518880.SH,2.0,0.0002
0.0025,2024-09-03,518880.SH,513100.SH,2.0,0.0002
0.0025,2024-09-12,513100.SH,518880.SH,2.0,0.0002
0.0025,2024-09-26,518880.SH,159915.SZ,2.0,0.0002
0.0025,2024-11-04,159915.SZ,518880.SH,2.0,0.0002
0.0025,2024-11-11,518880.SH,159915.SZ,2.0,0.0002
0.0025,2024-11-18,159915.SZ,513100.SH,2.0,0.0002
0.0025,2024-12-13,513100.SH,518880.SH,2.0,0.0002
0.0025,2024-12-20,518880.SH,513100.SH,2.0,0.0002
0.0025,2025-01-14,513100.SH,518880.SH,2.0,0.0002
0.0025,2025-02-18,518880.SH,159915.SZ,2.0,0.0002
0.0025,2025-02-26,159915.SZ,518880.SH,2.0,0.0002
0.0025,2025-03-06,518880.SH,159915.SZ,2.0,0.0002
0.0025,2025-03-18,159915.SZ,518880.SH,2.0,0.0002
0.0025,2025-05-09,518880.SH,159915.SZ,2.0,0.0002
0.0025,2025-05-16,159915.SZ,513100.SH,2.0,0.0002
0.0025,2025-06-13,513100.SH,518880.SH,2.0,0.0002
0.0025,2025-06-25,518880.SH,513100.SH,2.0,0.0002
0.0025,2025-07-02,513100.SH,159915.SZ,2.0,0.0002
0.0025,2025-09-23,159915.SZ,518880.SH,2.0,0.0002
0.0025,2025-09-30,518880.SH,513100.SH,2.0,0.0002
0.0025,2025-10-15,513100.SH,518880.SH,2.0,0.0002
0.0025,2025-10-28,518880.SH,513100.SH,2.0,0.0002
