tau,asset,entry_date,exit_date,next_entry_date,holding_days,pnl
0.0025,510300.SH,2020-06-09,2020-06-15,2020-06-16,5,-0.014495279778618753
0.0025,159915.SZ,2020-06-16,2020-07-06,2020-07-07,13,0.14046395919773547
0.0025,510300.SH,2020-07-07,2020-07-13,2020-07-14,5,0.016791197494224752
0.0025,159915.SZ,2020-07-14,2020-07-24,2020-07-27,9,-0.09494919374845001
0.0025,518880.SH,2020-07-27,2020-08-12,2020-08-13,13,-0.039804148931640415
0.0025,513100.SH,2020-08-13,2020-09-28,2020-09-29,33,0.12432412986933916
0.0025,510300.SH,2020-09-29,2020-10-13,2020-10-14,5,0.06338685909878827
0.0025,159915.SZ,2020-10-14,2020-11-06,2020-11-09,18,-0.01958315033401159
0.0025,510300.SH,2020-11-09,2020-12-15,2020-12-16,27,0.012535599991523094
0.0025,159915.SZ,2020-12-16,2020-12-29,2020-12-30,10,0.02034911459735067
0.0025,518880.SH,2020-12-30,2021-01-06,2021-01-07,5,0.025424347977478945
0.0025,159915.SZ,2021-01-07,2021-01-13,2021-01-14,5,-0.001306122189187131
0.0025,510300.SH,2021-01-14,2021-01-20,2021-01-21,5,-0.036526385203125566
0.0025,159915.SZ,2021-01-21,2021-02-03,2021-02-04,10,0.0035170999099762845
0.0025,513100.SH,2021-02-04,2021-03-03,2021-03-04,15,-0.02298957502646315
0.0025,510300.SH,2021-03-04,2021-03-10,2021-03-11,5,-0.09774991236007358
0.0025,513100.SH,2021-03-11,2021-03-19,2021-03-22,7,0.006725210320197794
0.0025,518880.SH,2021-03-22,2021-04-01,2021-04-02,9,-0.0030345785249288326
0.0025,513100.SH,2021-04-02,2021-04-21,2021-04-22,13,0.032528132917513775
0.0025,159915.SZ,2021-04-22,2021-05-07,2021-05-10,9,0.0025121806584671447
0.0025,518880.SH,2021-05-10,2021-05-14,2021-05-17,5,0.004183608957996299
0.0025,159915.SZ,2021-05-17,2021-05-21,2021-05-24,5,0.03403859625747985
0.0025,518880.SH,2021-05-24,2021-05-28,2021-05-31,5,-0.010241091936550317
0.0025,159915.SZ,2021-05-31,2021-06-16,2021-06-17,12,-0.024902260294573875
0.0025,513100.SH,2021-06-17,2021-07-21,2021-07-22,25,0.06777402856088943
0.0025,159915.SZ,2021-07-22,2021-07-28,2021-07-29,5,-0.0740162656582215
0.0025,518880.SH,2021-07-29,2021-08-04,2021-08-05,5,0.0170979158913398
0.0025,159915.SZ,2021-08-05,2021-08-12,2021-08-13,6,-0.04670349687451125
0.0025,513100.SH,2021-08-13,2021-09-06,2021-09-07,17,0.0303960420622178
0.0025,518880.SH,2021-09-07,2021-09-13,2021-09-14,5,-0.019168276364707304
0.0025,513100.SH,2021-09-14,2021-09-28,2021-09-29,9,-0.021396552538707758
0.0025,510300.SH,2021-09-29,2021-10-18,2021-10-19,9,-0.01600853248710543
0.0025,159915.SZ,2021-10-19,2021-11-02,2021-11-03,11,0.013250800972868904
0.0025,513100.SH,2021-11-03,2021-11-29,2021-11-30,19,0.011112281748059338
0.0025,159915.SZ,2021-11-30,2021-12-07,2021-12-08,6,-0.028248184820866218
0.0025,510300.SH,2021-12-08,2021-12-31,2022-01-04,18,2.321889283951606e-06
0.0025,518880.SH,2022-01-04,2022-03-22,2022-03-23,51,0.07195982027037817
0.0025,513100.SH,2022-03-23,2022-04-15,2022-04-18,16,-0.05669771570143112
0.0025,518880.SH,2022-04-18,2022-05-25,2022-05-26,25,-0.0269598308108161
0.0025,159915.SZ,2022-05-26,2022-06-10,2022-06-13,11,0.10032871405095722
0.0025,510300.SH,2022-06-13,2022-06-17,2022-06-20,5,0.017054979803877268
0.0025,159915.SZ,2022-06-20,2022-07-18,2022-07-19,21,0.0512555775387058
0.0025,513100.SH,2022-07-19,2022-09-01,2022-09-02,33,0.029192479465172783
0.0025,518880.SH,2022-09-02,2022-11-04,2022-11-07,40,0.03315306938037921
0.0025,159915.SZ,2022-11-07,2022-11-11,2022-11-14,5,-0.010155663791685643
0.0025,518880.SH,2022-11-14,2022-11-25,2022-11-28,10,0.00387501079100816
0.0025,510300.SH,2022-11-28,2022-12-02,2022-12-05,5,0.04642604427611374
0.0025,518880.SH,2022-12-05,2022-12-09,2022-12-12,5,-0.000978880738200738
