execution_date,signal_date,trading_day_of_month,turnover,orders,target_512890.SH,target_511260.SH,target_511360.SH,target_511880.SH,tilt_forward_20d,whipsaw_20d
2023-04-03,2023-03-31,1,2249517.18792,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,0.020414053782795604,0.3331034482758621
2023-05-04,2023-04-28,1,2499630.33632,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.005668611020492052,0.3331034482758621
2023-06-01,2023-05-31,1,2411953.56806,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,-0.0037191608879717356,0.0
2023-07-14,2023-07-13,10,1475342.67604,4,0.45652173913043476,0.40579710144927544,0.06521739130434782,0.07246376811594205,0.0017634818213022425,0.2523188405797102
2023-08-01,2023-07-31,1,1901451.70212,3,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.003696339308726174,0.3331034482758621
2023-09-01,2023-08-31,1,2534358.69742,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,0.005317049121959116,0.4137931034482758
2023-10-09,2023-09-28,1,3168490.0026999996,4,0.16935483870967738,0.5806451612903226,0.1693548387096774,0.08064516129032258,0.00715655605372194,0.4137931034482758
2023-11-01,2023-10-31,1,3164634.33444,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,0.00039833314465185984,0.3331034482758621
2023-12-01,2023-11-30,1,1471268.6300999997,4,0.45652173913043476,0.40579710144927544,0.06521739130434782,0.07246376811594205,-0.001442091508135089,0.19890054972513746
2024-01-02,2023-12-29,1,1518459.33262,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,0.010455404267785885,0.3331034482758621
2024-02-01,2024-01-31,1,2715859.2978999997,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,-0.009213039769486047,0.0
2024-03-19,2024-03-18,13,2008576.7013199998,4,0.46226415094339623,0.22641509433962267,0.14150943396226415,0.169811320754717,0.008312542319984894,0.2522641509433962
2024-04-01,2024-03-29,1,2096453.10396,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,-0.0031983223280726805,0.0
2024-05-13,2024-05-10,6,900100.00816,4,0.1909090909090909,0.5090909090909091,0.13636363636363635,0.16363636363636364,-0.0006532498181240313,0.10909090909090913
2024-06-03,2024-05-31,1,901906.8599800001,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.0011066464014502177,0.3331034482758621
2024-07-01,2024-06-28,1,2835708.42296,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,-0.00921703156587569,0.0
2024-08-20,2024-08-19,14,2790015.8538,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.011634883876282327,0.3331034482758621
2024-09-02,2024-08-30,1,2066226.5058399998,4,0.4499999999999999,0.4,0.10714285714285714,0.04285714285714286,0.01373875352126883,0.2806451612903225
2024-10-08,2024-09-30,1,2941229.397,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,0.008304450965395442,0.3832673827020916
2024-11-01,2024-10-31,1,1710027.6530999998,4,0.35,0.5142857142857143,0.06428571428571428,0.07142857142857144,0.00108726533521093,0.25428571428571434
2024-12-02,2024-11-29,1,2511206.0629399996,4,0.35714285714285715,0.24489795918367346,0.21428571428571427,0.1836734693877551,-0.0032814732980179463,0.15510204081632653
2025-01-02,2024-12-31,1,1454613.67104,3,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.005848355087991397,0.32389830508474576
2025-02-05,2025-01-27,1,3106776.0786800003,4,0.5338983050847457,0.2033898305084746,0.17796610169491528,0.08474576271186442,-0.0006288930075149139,0.19661016949152543
2025-03-03,2025-02-28,1,3589173.57472,4,0.16935483870967738,0.5806451612903226,0.1693548387096774,0.08064516129032258,-0.00572469296926328,0.046404019037546256
2025-04-07,2025-04-03,4,1711469.0324400002,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.001027639434224601,0.3331034482758621
2025-05-06,2025-04-30,1,3193619.07532,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,0.011004298191826484,0.3832673827020916
2025-06-03,2025-05-30,1,3866745.37316,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,-0.0034385051251957454,0.19800707168113146
2025-07-01,2025-06-30,1,1974845.57352,4,0.20588235294117646,0.3921568627450981,0.2647058823529412,0.13725490196078433,-0.0011673291225796861,0.19800707168113146
2025-08-01,2025-07-31,1,2679438.9311999995,4,0.45652173913043476,0.40579710144927544,0.06521739130434782,0.07246376811594205,0.0013785204488873145,0.2843905915894511
2025-09-01,2025-08-29,1,2917483.9578,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,0.006408615091112346,0.2843905915894511
2025-10-09,2025-09-30,1,2927424.00554,4,0.45652173913043476,0.40579710144927544,0.06521739130434782,0.07246376811594205,0.007201429923740321,0.2523188405797102
2025-11-03,2025-10-31,1,2649435.77264,3,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,-0.0017556023123680388,0.19016393442622953
2025-12-01,2025-11-28,1,2016274.653,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,0.004623537897299579,0.3832673827020916
2026-01-05,2025-12-31,1,2992310.3834399995,4,0.45652173913043476,0.40579710144927544,0.06521739130434782,0.07246376811594205,-0.0007990788279589267,0.19890054972513746
2026-02-02,2026-01-30,1,2103246.0344800004,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,0.0028881434094896468,0.3521943573667711
2026-03-02,2026-02-27,1,3502940.61216,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,-0.0011625764135694897,0.19016393442622953
2026-04-01,2026-03-31,1,2013640.90824,4,0.17213114754098358,0.5901639344262295,0.12295081967213113,0.11475409836065574,0.0012759977281672351,0.3832673827020916
2026-05-06,2026-04-30,1,4110201.7687799996,4,0.543103448275862,0.20689655172413796,0.12931034482758622,0.12068965517241383,-0.002323420324302603,0.0
2026-06-15,2026-06-12,11,3529227.6017,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.005659308885213914,0.3331034482758621
2026-07-01,2026-06-30,1,2637317.9744299995,4,0.4499999999999999,0.4,0.10714285714285714,0.04285714285714286,0.01011781497074709,0.24
2026-08-03,2026-07-31,1,2970015.7163199997,4,0.20999999999999996,0.4,0.21000000000000002,0.18000000000000002,0.0,
