date,trigger_value,threshold,time_trigger,days_since_rebalance_trade,confirmation_days,execution_month_rebalance_count_before
2025-02-18,0.2806451612903226,0.15,False,5,1,1
2025-03-03,0.17571558382553387,0.15,False,8,1,0
2025-03-14,0.17571558382553387,0.15,False,8,1,1
2025-04-03,0.18064516129032254,0.15,False,13,1,0
2025-04-14,0.333103448275862,0.15,False,5,1,1
2025-04-22,0.18596059113300484,0.15,False,5,1,2
2025-04-30,0.18596059113300484,0.15,False,5,1,0
2025-05-13,0.35219435736677107,0.15,False,5,1,1
2025-07-29,0.26561264822134384,0.15,False,53,1,0
2025-08-21,0.2843905915894511,0.15,False,16,1,0
2025-09-02,0.17293927499422765,0.15,False,7,1,0
2025-09-17,0.30014570179698885,0.15,False,10,1,1
2025-09-25,0.19890054972513746,0.15,False,5,1,2
2025-10-14,0.19890054972513746,0.15,False,6,1,0
2025-10-22,0.333103448275862,0.15,False,5,1,1
2025-11-24,0.15510204081632656,0.15,False,22,1,0
2025-12-02,0.2602780242531796,0.15,False,5,1,0
2025-12-24,0.19890054972513746,0.15,False,15,1,1
2026-01-05,0.19890054972513746,0.15,False,5,1,0
2026-01-15,0.19890054972513746,0.15,False,7,1,1
2026-02-05,0.333103448275862,0.15,False,14,1,0
2026-03-13,0.19016393442622948,0.15,False,19,1,0
2026-03-23,0.2843905915894511,0.15,False,5,1,1
2026-03-31,0.2843905915894511,0.15,False,5,1,0
2026-04-09,0.38326738270209154,0.15,False,5,1,1
2026-04-21,0.333103448275862,0.15,False,7,1,2
2026-04-29,0.333103448275862,0.15,False,5,1,3
2026-05-25,0.19890054972513746,0.15,False,14,1,0
2026-06-02,0.19890054972513746,0.15,False,5,1,0
2026-06-12,0.333103448275862,0.15,False,7,1,1
2026-06-23,0.333103448275862,0.15,False,5,1,2
2026-07-01,0.19310344827586212,0.15,False,5,1,0
2026-07-09,0.19661016949152546,0.15,False,5,1,1
2026-07-17,0.3238983050847457,0.15,False,5,1,2
