selector,factor,satellite_weight,satellite_topn,activation,corr_cap,rebalance_days,sharpe_D,delta_D,sharpe_V,delta_V,min_DV_delta,sharpe_DV,sharpe_T_not_used_for_selection,delta_T_not_used_for_selection,full_sharpe,full_annual_return,full_max_drawdown,satellite_days,config_id
P60_TOP5,ER_FLOOR20,0.4,2,selector_only,,10,1.2750667687799457,-0.16205831556136863,0.9569453929443782,-0.03706617360823716,-0.16205831556136863,1.1396023315129744,0.8217853555948392,-0.4430427561137561,1.0498361206185678,0.2468647501873007,-0.3396095901605236,1839,P60_TOP5|ER_FLOOR20|w0.40|n2|selector_only|corrnone|rd10
MEDIAN_TOP3,QM20,0.4,1,selector_only,0.85,5,1.3354176177157453,-0.10170746662556907,0.8318158787171479,-0.16219568783546745,-0.16219568783546745,1.1061059662287582,0.9736753295395253,-0.29115278216907003,1.064131596543347,0.2583073810998018,-0.27381253043695786,1271,MEDIAN_TOP3|QM20|w0.40|n1|selector_only|corr0.85|rd5
P60_TOP5,QM20,0.4,1,beat_best,,5,1.5545981919233334,0.11747310758201901,0.8311364581112403,-0.1628751084413751,-0.1628751084413751,1.2213562198729788,0.9265821115002052,-0.33824600020839013,1.1295109079312666,0.28520997425625993,-0.29761422606192856,964,P60_TOP5|QM20|w0.40|n1|beat_best|corrnone|rd5
ALIGN_TOP3,QM20,0.25,1,selector_only,,5,1.3370208727867094,-0.10010421155460492,0.8309146070171278,-0.16309695953548753,-0.16309695953548753,1.1126973894405365,1.18865472869663,-0.0761733830119653,1.1350882878566573,0.2717745515783354,-0.26764496871164467,1490,ALIGN_TOP3|QM20|w0.25|n1|selector_only|corrnone|rd5
MEDIAN_TOP3,ER_FLOOR20,0.4,2,selector_only,,5,1.2710674906634225,-0.16605759367789186,0.8320679260948783,-0.16194364045773701,-0.16605759367789186,1.078898484316963,1.2966590227901191,0.031830911081523805,1.1420836388372655,0.2845333370046539,-0.31111792947425665,1447,MEDIAN_TOP3|ER_FLOOR20|w0.40|n2|selector_only|corrnone|rd5
P60_TOP5,ER_FLOOR20,0.25,1,selector_only,,10,1.319253395021954,-0.11787168931936032,0.8221533465358856,-0.1718582200167298,-0.1718582200167298,1.1066457474280549,1.5828666791817363,0.31803856747314097,1.2564830488230574,0.3318864088223339,-0.3027441970320137,1846,P60_TOP5|ER_FLOOR20|w0.25|n1|selector_only|corrnone|rd10
P60_TOP5,ER_FLOOR20,0.25,2,selector_only,,5,1.263886146241662,-0.1732389380996524,0.8782822988815228,-0.1157292676710926,-0.1732389380996524,1.0979656459794598,1.447783355995091,0.18295524428649568,1.206440186710889,0.31637510501615274,-0.275268495544184,1820,P60_TOP5|ER_FLOOR20|w0.25|n2|selector_only|corrnone|rd5
MEDIAN_TOP3,QM20,0.4,1,selector_only,,5,1.3441313892591857,-0.09299369508212862,0.8101059554012222,-0.18390561115139314,-0.18390561115139314,1.1024786311329275,1.0628169297915022,-0.2020111819170931,1.0897902170447444,0.2627223143242514,-0.27381253043695786,1408,MEDIAN_TOP3|QM20|w0.40|n1|selector_only|corrnone|rd5
P60_TOP5,ER_FLOOR20,0.4,2,selector_only,0.85,10,1.2513314065269132,-0.18579367781440115,0.8763944328055606,-0.11761713374705474,-0.18579367781440115,1.091159451294736,0.767893902288532,-0.4969342094200633,1.0007925925541585,0.232581031249528,-0.3396095901605236,1711,P60_TOP5|ER_FLOOR20|w0.40|n2|selector_only|corr0.85|rd10
ALIGN_TOP3,QM20,0.4,1,beat_best,,5,1.5420748099439043,0.10494972560258997,0.8058166649667572,-0.18819490158585817,-0.18819490158585817,1.2030147183794417,1.0382283864921413,-0.226599725216454,1.152678374494905,0.29023687329926995,-0.297614226061929,842,ALIGN_TOP3|QM20|w0.40|n1|beat_best|corrnone|rd5
