date,arm,510300.SH,159915.SZ,513100.SH,518880.SH
2015-06-24,A3,1.0,0.0,0.0,0.0
2015-07-01,A3,0.0,0.0,1.0,0.0
2015-07-10,A3,0.0,0.0,0.0,1.0
2015-07-17,A3,0.0,0.0,1.0,0.0
2015-08-24,A3,0.0,0.0,0.0,1.0
2015-09-28,A3,0.0,0.0,1.0,0.0
2015-10-12,A3,0.0,1.0,0.0,0.0
2015-12-10,A3,0.0,0.0,1.0,0.0
2015-12-23,A3,0.0,0.0,0.0,1.0
2015-12-31,A3,0.0,1.0,0.0,0.0
2016-01-08,A3,0.0,0.0,0.0,1.0
2016-03-22,A3,1.0,0.0,0.0,0.0
2016-03-29,A3,0.0,0.0,1.0,0.0
2016-04-06,A3,0.0,1.0,0.0,0.0
2016-04-25,A3,0.0,0.0,1.0,0.0
2016-05-03,A3,0.0,0.0,0.0,1.0
2016-05-31,A3,0.0,0.0,1.0,0.0
2016-06-16,A3,0.0,1.0,0.0,0.0
2016-06-27,A3,0.0,0.0,0.0,1.0
2016-07-19,A3,1.0,0.0,0.0,0.0
2016-07-26,A3,0.0,0.0,1.0,0.0
2016-08-30,A3,1.0,0.0,0.0,0.0
2016-09-12,A3,0.0,1.0,0.0,0.0
2016-09-21,A3,0.0,0.0,1.0,0.0
2016-10-10,A3,0.0,0.0,0.0,1.0
2016-10-17,A3,0.0,0.0,1.0,0.0
2016-10-24,A3,0.0,1.0,0.0,0.0
2016-10-31,A3,1.0,0.0,0.0,0.0
2016-12-09,A3,0.0,0.0,1.0,0.0
2017-01-18,A3,0.0,0.0,0.0,1.0
2017-02-13,A3,0.0,0.0,1.0,0.0
2017-03-27,A3,0.0,1.0,0.0,0.0
2017-04-05,A3,0.0,0.0,1.0,0.0
2017-04-12,A3,0.0,0.0,0.0,1.0
2017-05-03,A3,0.0,0.0,1.0,0.0
2017-06-09,A3,1.0,0.0,0.0,0.0
2017-08-07,A3,0.0,0.0,1.0,0.0
2017-08-14,A3,0.0,0.0,0.0,1.0
2017-08-21,A3,0.0,1.0,0.0,0.0
2017-09-21,A3,1.0,0.0,0.0,0.0
2017-09-28,A3,0.0,1.0,0.0,0.0
2017-10-12,A3,0.0,0.0,1.0,0.0
2017-10-27,A3,1.0,0.0,0.0,0.0
2017-11-03,A3,0.0,0.0,1.0,0.0
2017-11-17,A3,1.0,0.0,0.0,0.0
2017-11-24,A3,0.0,0.0,1.0,0.0
2018-01-03,A3,1.0,0.0,0.0,0.0
2018-01-16,A3,0.0,0.0,0.0,1.0
2018-01-23,A3,1.0,0.0,0.0,0.0
2018-02-12,A3,0.0,0.0,0.0,1.0
2018-02-26,A3,0.0,0.0,1.0,0.0
2018-03-05,A3,0.0,1.0,0.0,0.0
2018-04-13,A3,0.0,0.0,0.0,1.0
2018-05-03,A3,0.0,0.0,1.0,0.0
2018-09-19,A3,0.0,0.0,0.0,1.0
2018-09-27,A3,0.0,0.0,1.0,0.0
2018-10-11,A3,1.0,0.0,0.0,0.0
2018-10-18,A3,0.0,0.0,0.0,1.0
2018-11-14,A3,0.0,1.0,0.0,0.0
2018-12-10,A3,0.0,0.0,0.0,1.0
2019-01-24,A3,0.0,0.0,1.0,0.0
2019-02-12,A3,1.0,0.0,0.0,0.0
2019-02-25,A3,0.0,1.0,0.0,0.0
2019-04-08,A3,0.0,0.0,1.0,0.0
2019-04-17,A3,1.0,0.0,0.0,0.0
2019-04-24,A3,0.0,0.0,1.0,0.0
2019-05-17,A3,0.0,0.0,0.0,1.0
2019-07-02,A3,1.0,0.0,0.0,0.0
2019-07-09,A3,0.0,0.0,1.0,0.0
