date,asset,target_weight
2023-08-04,512890.SH,0.20999999999999996
2023-08-04,511260.SH,0.4
2023-08-04,511360.SH,0.21000000000000002
2023-08-04,511880.SH,0.18000000000000002
2023-08-07,512890.SH,0.20999999999999996
2023-08-07,511260.SH,0.4
2023-08-07,511360.SH,0.21000000000000002
2023-08-07,511880.SH,0.18000000000000002
2023-08-08,512890.SH,0.20999999999999996
2023-08-08,511260.SH,0.4
2023-08-08,511360.SH,0.21000000000000002
2023-08-08,511880.SH,0.18000000000000002
2023-08-09,512890.SH,0.20999999999999996
2023-08-09,511260.SH,0.4
2023-08-09,511360.SH,0.21000000000000002
2023-08-09,511880.SH,0.18000000000000002
2023-08-10,512890.SH,0.20999999999999996
2023-08-10,511260.SH,0.4
2023-08-10,511360.SH,0.21000000000000002
2023-08-10,511880.SH,0.18000000000000002
2023-08-11,512890.SH,0.35714285714285715
2023-08-11,511260.SH,0.24489795918367346
2023-08-11,511360.SH,0.21428571428571427
2023-08-11,511880.SH,0.1836734693877551
2023-08-14,512890.SH,0.20999999999999996
2023-08-14,511260.SH,0.4
2023-08-14,511360.SH,0.21000000000000002
2023-08-14,511880.SH,0.18000000000000002
2023-08-15,512890.SH,0.20999999999999996
2023-08-15,511260.SH,0.4
2023-08-15,511360.SH,0.21000000000000002
2023-08-15,511880.SH,0.18000000000000002
2023-08-16,512890.SH,0.35714285714285715
2023-08-16,511260.SH,0.24489795918367346
2023-08-16,511360.SH,0.21428571428571427
2023-08-16,511880.SH,0.1836734693877551
2023-08-17,512890.SH,0.20999999999999996
2023-08-17,511260.SH,0.4
2023-08-17,511360.SH,0.21000000000000002
2023-08-17,511880.SH,0.18000000000000002
2023-08-18,512890.SH,0.20999999999999996
2023-08-18,511260.SH,0.4
2023-08-18,511360.SH,0.21000000000000002
2023-08-18,511880.SH,0.18000000000000002
2023-08-21,512890.SH,0.543103448275862
2023-08-21,511260.SH,0.20689655172413796
2023-08-21,511360.SH,0.12931034482758622
2023-08-21,511880.SH,0.12068965517241383
2023-08-22,512890.SH,0.543103448275862
2023-08-22,511260.SH,0.20689655172413796
2023-08-22,511360.SH,0.12931034482758622
2023-08-22,511880.SH,0.12068965517241383
2023-08-23,512890.SH,0.543103448275862
2023-08-23,511260.SH,0.20689655172413796
2023-08-23,511360.SH,0.12931034482758622
2023-08-23,511880.SH,0.12068965517241383
2023-08-24,512890.SH,0.543103448275862
2023-08-24,511260.SH,0.20689655172413796
2023-08-24,511360.SH,0.12931034482758622
2023-08-24,511880.SH,0.12068965517241383
2023-08-25,512890.SH,0.543103448275862
2023-08-25,511260.SH,0.20689655172413796
2023-08-25,511360.SH,0.12931034482758622
2023-08-25,511880.SH,0.12068965517241383
2023-08-28,512890.SH,0.543103448275862
2023-08-28,511260.SH,0.20689655172413796
2023-08-28,511360.SH,0.12931034482758622
2023-08-28,511880.SH,0.12068965517241383
2023-08-29,512890.SH,0.543103448275862
2023-08-29,511260.SH,0.20689655172413796
2023-08-29,511360.SH,0.12931034482758622
2023-08-29,511880.SH,0.12068965517241383
2023-08-30,512890.SH,0.543103448275862
2023-08-30,511260.SH,0.20689655172413796
2023-08-30,511360.SH,0.12931034482758622
2023-08-30,511880.SH,0.12068965517241383
2023-08-31,512890.SH,0.543103448275862
2023-08-31,511260.SH,0.20689655172413796
2023-08-31,511360.SH,0.12931034482758622
2023-08-31,511880.SH,0.12068965517241383
2023-09-01,512890.SH,0.543103448275862
2023-09-01,511260.SH,0.20689655172413796
2023-09-01,511360.SH,0.12931034482758622
2023-09-01,511880.SH,0.12068965517241383
2023-09-04,512890.SH,0.20999999999999996
2023-09-04,511260.SH,0.4
2023-09-04,511360.SH,0.21000000000000002
2023-09-04,511880.SH,0.18000000000000002
2023-09-05,512890.SH,0.543103448275862
2023-09-05,511260.SH,0.20689655172413796
2023-09-05,511360.SH,0.12931034482758622
2023-09-05,511880.SH,0.12068965517241383
2023-09-06,512890.SH,0.45652173913043476
2023-09-06,511260.SH,0.40579710144927544
2023-09-06,511360.SH,0.06521739130434782
2023-09-06,511880.SH,0.07246376811594205
